SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,SEASON,DaysSinceLast,IS_HOME_GAME,INJURY_SCORE
22018,1610612744,GSW,Golden State Warriors,0021800494,2018-12-23,GSW vs. LAC,1,240,129,42,93,0.452,14,40,0.35,31,36,0.861,15,31,46,22,9,7,7,27,2.0,2018-19,1.0,1,-96.82000000000001
22018,1610612744,GSW,Golden State Warriors,0021800500,2018-12-25,GSW vs. LAL,0,241,101,38,93,0.409,9,36,0.25,16,21,0.762,7,30,37,28,5,1,13,21,-26.0,2018-19,2.0,1,-25.88000000000001
22018,1610612744,GSW,Golden State Warriors,0021800516,2018-12-27,GSW vs. POR,0,267,109,45,106,0.425,13,44,0.295,6,15,0.4,14,45,59,36,10,9,15,19,-1.0,2018-19,2.0,1,-25.030000000000015
22018,1610612744,GSW,Golden State Warriors,0021800534,2018-12-29,GSW @ POR,1,239,115,40,80,0.5,12,25,0.48,23,28,0.821,5,37,42,27,9,4,12,18,10.0,2018-19,2.0,0,-25.030000000000015
22018,1610612744,GSW,Golden State Warriors,0021800548,2018-12-31,GSW @ PHX,1,242,132,46,84,0.548,14,28,0.5,26,32,0.813,7,37,44,31,7,8,15,24,23.0,2018-19,2.0,0,-12.36
22018,1610612744,GSW,Golden State Warriors,0021800565,2019-01-03,GSW vs. HOU,0,264,134,53,102,0.52,14,37,0.378,14,15,0.933,9,38,47,33,8,6,14,19,-1.0,2018-19,3.0,1,-72.65000000000002
22018,1610612744,GSW,Golden State Warriors,0021800583,2019-01-05,GSW @ SAC,1,242,127,47,93,0.505,21,47,0.447,12,14,0.857,12,35,47,29,5,8,13,16,4.0,2018-19,2.0,0,-64.12
22018,1610612744,GSW,Golden State Warriors,0021800605,2019-01-08,GSW vs. NYK,1,240,122,49,96,0.51,14,45,0.311,10,12,0.833,15,34,49,36,9,10,15,14,27.0,2018-19,3.0,1,-73.54000000000002
22018,1610612744,GSW,Golden State Warriors,0021800629,2019-01-11,GSW vs. CHI,1,240,146,53,92,0.576,18,39,0.462,22,26,0.846,11,38,49,38,6,8,12,27,37.0,2018-19,3.0,1,-6.299999999999997
22018,1610612744,GSW,Golden State Warriors,0021800642,2019-01-13,GSW @ DAL,1,240,119,45,99,0.455,19,45,0.422,10,12,0.833,16,33,49,26,9,8,10,22,5.0,2018-19,2.0,0,-51.64
22018,1610612744,GSW,Golden State Warriors,0021800655,2019-01-15,GSW @ DEN,1,241,142,57,95,0.6,21,39,0.538,7,10,0.7,12,38,50,38,6,4,10,20,31.0,2018-19,2.0,0,11.36999999999999
22018,1610612744,GSW,Golden State Warriors,0021800663,2019-01-16,GSW vs. NOP,1,239,147,49,102,0.48,24,49,0.49,25,31,0.806,10,47,57,33,8,5,10,24,7.0,2018-19,1.0,1,-18.88000000000001
22018,1610612744,GSW,Golden State Warriors,0021800676,2019-01-18,GSW @ LAC,1,239,112,42,86,0.488,9,37,0.243,19,27,0.704,3,40,43,31,11,8,10,24,18.0,2018-19,2.0,0,-143.59000000000003
